,costo,dim,gap,heuristica,instancia,tiempo
123,147668.0,76.0,0.3652862914782866,AGM,pr76,0.199019
124,55956.0,107.0,0.2630295916755073,AGM,pr107,0.238624
125,82761.0,124.0,0.4020159241063866,AGM,pr124,0.340779
126,146988.0,136.0,0.5189104286363824,AGM,pr136,0.545091
127,77704.0,144.0,0.32743393067632437,AGM,pr144,0.414215
128,90292.0,152.0,0.22542819141717108,AGM,pr152,0.474283
129,1635.0,99.0,0.3501238645747316,AGM,rat99,0.243291
130,3278.0,195.0,0.41110632802410674,AGM,rat195,0.558226
131,10467.0,100.0,0.32326169405815425,AGM,rd100,0.376134
132,22992.0,175.0,0.07404120147615266,AGM,si175,0.454783
133,874.0,70.0,0.2948148148148148,AGM,st70,0.164819
134,1699.0,42.0,0.33464257659073054,AGM,swiss42,0.09001
135,54089.0,159.0,0.28538498098859316,AGM,u159,0.644288
136,7788.0,16.0,0.13544248432716138,AGM,ulysses16,0.023729
137,8308.0,22.0,0.1846570654498788,AGM,ulysses22,0.03791
138,12861.0,48.0,0.21010538200978549,NN,att48,0.074698
139,2005.0,29.0,0.2453416149068323,NN,bayg29,0.041608
140,2258.0,29.0,0.11782178217821782,NN,bays29,0.015204
141,8980.0,52.0,0.19066560594006896,NN,berlin52,0.151433
142,135737.0,127.0,0.14757105899460612,NN,bier127,1.49654
143,30774.0,58.0,0.21181334908446545,NN,brazil58,0.196675
144,12360.0,180.0,5.338461538461538,NN,brg180,3.92081
145,4048.0,14.0,0.21817634667469155,NN,burma14,0.012991
146,7579.0,130.0,0.2404255319148936,NN,ch130,0.938209
147,8191.0,150.0,0.25474877450980393,NN,ch150,1.38972
148,18240.0,198.0,0.155893536121673,NN,d198,5.14476
149,956.0,42.0,0.3676680972818312,NN,dantzig42,0.090579
150,511.0,51.0,0.19953051643192488,NN,eil51,0.08433
151,642.0,76.0,0.19330855018587362,NN,eil76,0.386998
152,1112.0,26.0,0.18676627534685167,NN,fri26,0.020265
153,2187.0,17.0,0.04892086330935252,NN,gr17,0.017619
154,3333.0,21.0,0.23125230882896194,NN,gr21,0.023839
155,1553.0,24.0,0.2209119496855346,NN,gr24,0.029615
156,6098.0,48.0,0.2084819659135949,NN,gr48,0.096734
157,70916.0,96.0,0.28450071546305855,NN,gr96,0.898986
158,9351.0,120.0,0.3470181503889369,NN,gr120,0.754091
159,93912.0,137.0,0.3444232889067041,NN,gr137,1.07721
160,13181.0,48.0,0.1500741645580665,NN,hk48,0.073644
161,27807.0,100.0,0.3065971243304201,NN,kroA100,0.321206
162,29158.0,100.0,0.31692335486202067,NN,kroB100,0.390571
163,26227.0,100.0,0.2640127235047472,NN,kroC100,0.335897
164,26947.0,100.0,0.26547384239691935,NN,kroD100,0.317298
165,27460.0,100.0,0.24433568968642377,NN,kroE100,0.463299
166,33633.0,150.0,0.2680214145679385,NN,kroA150,1.31327
167,34499.0,150.0,0.320283199387677,NN,kroB150,2.41334
168,20356.0,105.0,0.4156756380833159,NN,lin105,0.934772
169,153462.0,76.0,0.4188555737386625,NN,pr76,0.3852
170,46680.0,107.0,0.053653251472812226,NN,pr107,0.550069
171,69297.0,124.0,0.17392851092664746,NN,pr124,0.73914
172,120769.0,136.0,0.24797462075807053,NN,pr136,1.05411
173,61652.0,144.0,0.053214206399371335,NN,pr144,1.66167
174,85699.0,152.0,0.1630927499253549,NN,pr152,2.15539
175,1554.0,99.0,0.2832369942196532,NN,rat99,0.328976
176,2752.0,195.0,0.18467498923805423,NN,rat195,1.83224
177,9938.0,100.0,0.2563843236409608,NN,rd100,0.620094
178,22263.0,175.0,0.039986920166300746,NN,si175,1.71884
179,830.0,70.0,0.22962962962962963,NN,st70,0.14698
180,1630.0,42.0,0.28043990573448546,NN,swiss42,0.071375
181,54675.0,159.0,0.29931083650190116,NN,u159,1.62525
182,9988.0,16.0,0.4561889488263595,NN,ulysses16,0.01531
183,10586.0,22.0,0.5094823898474262,NN,ulysses22,0.019493
184,10876.0,48.0,0.023334587881068874,FI,att48,0.79083
185,1738.0,29.0,0.07950310559006211,FI,bayg29,0.341167
186,2028.0,29.0,0.0039603960396039604,FI,bays29,0.336681
187,8312.0,52.0,0.1020949350304959,FI,berlin52,1.58777
188,129723.0,127.0,0.0967264672562182,FI,bier127,11.1241
189,26524.0,58.0,0.044457570387871626,FI,brazil58,0.973094
190,2672.0,180.0,0.37025641025641026,FI,brg180,23.9657
191,3323.0,14.0,0.0,FI,burma14,0.104528
192,6433.0,130.0,0.05286415711947627,FI,ch130,12.7606
193,7067.0,150.0,0.08256740196078431,FI,ch150,13.5556
194,16260.0,198.0,0.030418250950570342,FI,d198,20.2534
195,747.0,42.0,0.06866952789699571,FI,dantzig42,0.4351
196,463.0,51.0,0.08685446009389672,FI,eil51,1.27989
197,585.0,76.0,0.08736059479553904,FI,eil76,2.91932
198,937.0,26.0,0.0,FI,fri26,0.26995
199,2095.0,17.0,0.004796163069544364,FI,gr17,0.091966
200,2816.0,21.0,0.040265977096416695,FI,gr21,0.173538
201,1319.0,24.0,0.036949685534591194,FI,gr24,0.265169
202,5151.0,48.0,0.020808561236623068,FI,gr48,1.40498
203,60335.0,96.0,0.0928471807132895,FI,gr96,3.36227
204,7304.0,120.0,0.052146355517142036,FI,gr120,4.05475
205,74245.0,137.0,0.06287489442114154,FI,gr137,5.82455
206,12353.0,48.0,0.07782915975918332,FI,hk48,0.490379
207,23186.0,100.0,0.08946527581994174,FI,kroA100,2.69979
208,23222.0,100.0,0.04882344970868525,FI,kroB100,2.92978
209,21699.0,100.0,0.045785339052484456,FI,kroC100,2.73821
210,22034.0,100.0,0.034751573213111675,FI,kroD100,3.03597
211,23516.0,100.0,0.06561537067246692,FI,kroE100,3.97832
212,28684.0,150.0,0.08143568089277635,FI,kroA150,7.76551
213,27180.0,150.0,0.040183696900114814,FI,kroB150,14.0967
