instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
bayg29,29,TS-C,77.4484,1610,0.0,500,50,80
bayg29,29,TS-C,86.1117,1628,0.011180124223602485,500,100,80
bayg29,29,TS-C,87.3554,1610,0.0,500,200,80
bayg29,29,TS-C,116.109,1615,0.003105590062111801,500,500,80
bayg29,29,TS-C,164.084,1626,0.009937888198757764,1000,50,80
bayg29,29,TS-C,189.118,1610,0.0,1000,100,80
bayg29,29,TS-C,189.584,1610,0.0,1000,200,80
bayg29,29,TS-C,195.7,1610,0.0,1000,500,80
bayg29,29,TS-C,188.262,1610,0.0,1000,1000,80
bayg29,29,TS-C,23.1571,1643,0.020496894409937887,50,50,100
bayg29,29,TS-C,45.2406,1643,0.020496894409937887,100,50,100
bayg29,29,TS-C,45.036,1643,0.020496894409937887,100,100,100
bayg29,29,TS-C,66.6286,1630,0.012422360248447204,200,50,100
bayg29,29,TS-C,67.5976,1630,0.012422360248447204,200,100,100
bayg29,29,TS-C,52.5664,1630,0.012422360248447204,200,200,100
bayg29,29,TS-C,112.764,1630,0.012422360248447204,500,50,100
bayg29,29,TS-C,117.29,1615,0.003105590062111801,500,100,100
bayg29,29,TS-C,120.881,1615,0.003105590062111801,500,200,100
bayg29,29,TS-C,107.226,1615,0.003105590062111801,500,500,100
bayg29,29,TS-C,196.446,1630,0.012422360248447204,1000,50,100
bayg29,29,TS-C,177.527,1615,0.003105590062111801,1000,100,100
bayg29,29,TS-C,210.893,1615,0.003105590062111801,1000,200,100
bayg29,29,TS-C,203.015,1610,0.0,1000,500,100
bayg29,29,TS-C,230.663,1610,0.0,1000,1000,100
bays29,29,TS-C,14.8446,2060,0.019801980198019802,50,50,10
bays29,29,TS-C,32.0868,2094,0.03663366336633663,100,50,10
bays29,29,TS-C,25.275,2058,0.01881188118811881,100,100,10
bays29,29,TS-C,56.2007,2076,0.027722772277227723,200,50,10
bays29,29,TS-C,37.0294,2072,0.02574257425742574,200,100,10
bays29,29,TS-C,34.3619,2076,0.027722772277227723,200,200,10
bays29,29,TS-C,78.2172,2060,0.019801980198019802,500,50,10
bays29,29,TS-C,92.1893,2056,0.01782178217821782,500,100,10
bays29,29,TS-C,78.9204,2028,0.0039603960396039604,500,200,10
bays29,29,TS-C,92.6686,2030,0.0049504950495049506,500,500,10
bays29,29,TS-C,146.672,2055,0.017326732673267328,1000,50,10
bays29,29,TS-C,135.152,2030,0.0049504950495049506,1000,100,10
bays29,29,TS-C,148.059,2030,0.0049504950495049506,1000,200,10
bays29,29,TS-C,137.646,2028,0.0039603960396039604,1000,500,10
bays29,29,TS-C,157.401,2033,0.006435643564356435,1000,1000,10
bays29,29,TS-C,16.0356,2056,0.01782178217821782,50,50,20
bays29,29,TS-C,21.7794,2035,0.007425742574257425,100,50,20
bays29,29,TS-C,32.8452,2028,0.0039603960396039604,100,100,20
bays29,29,TS-C,56.6181,2020,0.0,200,50,20
bays29,29,TS-C,48.3534,2028,0.0039603960396039604,200,100,20
bays29,29,TS-C,58.8061,2026,0.0029702970297029703,200,200,20
bays29,29,TS-C,92.9382,2026,0.0029702970297029703,500,50,20
bays29,29,TS-C,94.641,2034,0.006930693069306931,500,100,20
bays29,29,TS-C,95.2722,2022,0.0009900990099009901,500,200,20
bays29,29,TS-C,95.1165,2020,0.0,500,500,20
bays29,29,TS-C,152.836,2022,0.0009900990099009901,1000,50,20
bays29,29,TS-C,155.234,2028,0.0039603960396039604,1000,100,20
bays29,29,TS-C,153.282,2020,0.0,1000,200,20
bays29,29,TS-C,159.876,2020,0.0,1000,500,20
bays29,29,TS-C,159.873,2020,0.0,1000,1000,20
bays29,29,TS-C,19.2716,2045,0.012376237623762377,50,50,50
bays29,29,TS-C,38.0164,2026,0.0029702970297029703,100,50,50
bays29,29,TS-C,38.204,2020,0.0,100,100,50
bays29,29,TS-C,60.6009,2020,0.0,200,50,50
bays29,29,TS-C,35.0711,2020,0.0,200,100,50
bays29,29,TS-C,61.2365,2020,0.0,200,200,50
bays29,29,TS-C,86.3364,2020,0.0,500,50,50
bays29,29,TS-C,104.123,2020,0.0,500,100,50
bays29,29,TS-C,103.017,2033,0.006435643564356435,500,200,50
bays29,29,TS-C,106.53,2020,0.0,500,500,50
bays29,29,TS-C,171.306,2020,0.0,1000,50,50
bays29,29,TS-C,179.503,2020,0.0,1000,100,50
bays29,29,TS-C,172.779,2020,0.0,1000,200,50
bays29,29,TS-C,179.351,2020,0.0,1000,500,50
bays29,29,TS-C,181.157,2020,0.0,1000,1000,50
bays29,29,TS-C,21.1073,2020,0.0,50,50,80
bays29,29,TS-C,43.0388,2026,0.0029702970297029703,100,50,80
